ideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 04:45:01.170518 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:15:00.557286 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:15:12.400294 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:20:55.710590 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:21:27.609269 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:34:36.797391 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:34:45.675834 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:42:03.411560 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 14:42:06.481534 CS14_TS15_MBC_Andong minor cleared alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
Nov 15 15:00:08.995837 CS14_TS15_MBC_Andong minor raised alarm.capture.videoblackout liveEncodings/ab302d6e9b7f43d6b85d43e37e3e9b63/inputVideo/Video_01 Input video still image Input video still image for service=CS14_TS15_MBC_Andong;inputVideo=Video_01;sdt=CS14_MBC_AnDong 
