put video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 16 01:11:15.697524 BS18_TS05_TEST_02 minor raised alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 16 01:11:36.695657 BS18_TS05_TEST_02 minor cleared alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 16 18:24:46.698472 BS18_TS05_TEST_02 minor raised alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 16 18:24:58.598042 BS18_TS05_TEST_02 minor cleared alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 17 01:16:07.896527 BS18_TS05_TEST_02 minor raised alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 17 01:16:38.895919 BS18_TS05_TEST_02 minor cleared alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 18 01:04:43.996428 BS18_TS05_TEST_02 minor raised alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 18 01:04:51.896518 BS18_TS05_TEST_02 minor cleared alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 18 01:09:08.597070 BS18_TS05_TEST_02 minor raised alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
Aug 18 01:09:27.296648 BS18_TS05_TEST_02 minor cleared alarm.capture.videoblackout liveEncodings/e9c9447699d94ad9a463e0b93d3e8f55/inputVideo/Video_01 Input video still image Input video still image for service=BS18_TS05_TEST_02;inputVideo=Video_01;sdt=BS18_EBS Jung1 
