-----------Freespace (df -lh)---------------------------
Filesystem                   Size  Used Avail Use% Mounted on
/dev/mapper/vg_main-lv_root   33G  5.4G   26G  18% /
devtmpfs                      94G     0   94G   0% /dev
tmpfs                         94G   52K   94G   1% /dev/shm
tmpfs                         94G     0   94G   0% /sys/fs/cgroup
tmpfs                         94G 1019M   93G   2% /run
/dev/sda1                    488M  314M  139M  70% /boot
/dev/mapper/vg_main-lv_opt    33G  3.1G   28G  10% /opt
/dev/mapper/vg_main-lv_var   110G  1.7G  102G   2% /var

-----------process running (top -n -1 -b)---------------------------
top - 11:37:46 up 17 days,  1:31,  0 users,  load average: 55.55, 48.30, 48.77
Tasks: 923 total,   2 running, 921 sleeping,   0 stopped,   0 zombie
%Cpu(s): 54.2 us,  4.9 sy,  0.1 ni, 40.4 id,  0.0 wa,  0.0 hi,  0.4 si,  0.0 st
KiB Mem : 19651568+total, 15327406+free, 40134556 used,  3107052 buff/cache
KiB Swap:        0 total,        0 free,        0 used. 15460832+avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   279 root      rt   0       0      0      0 S   0.0  0.0   0:04.41 watchdog/+
   280 root      rt   0       0      0      0 S   0.0  0.0   0:07.88 migration+
   281 root      20   0       0      0      0 S   0.0  0.0   3:27.26 ksoftirqd+
   283 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   284 root      rt   0       0      0      0 S   0.0  0.0   0:03.56 watchdog/+
   285 root      rt   0       0      0      0 S   0.0  0.0   0:04.25 migration+
   286 root      20   0       0      0      0 S   0.0  0.0   0:01.97 ksoftirqd+
   288 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   289 root      rt   0       0      0      0 S   0.0  0.0   0:03.90 watchdog/+
   290 root      rt   0       0      0      0 S   0.0  0.0   0:04.23 migration+
   291 root      20   0       0      0      0 S   0.0  0.0   1:33.79 ksoftirqd+
   293 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   294 root      rt   0       0      0      0 S   0.0  0.0   0:04.24 watchdog/+
   295 root      rt   0       0      0      0 S   0.0  0.0   0:04.29 migration+
   296 root      20   0       0      0      0 S   0.0  0.0   0:01.93 ksoftirqd+
   298 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   299 root      rt   0       0      0      0 S   0.0  0.0   0:04.43 watchdog/+
   300 root      rt   0       0      0      0 S   0.0  0.0   0:05.94 migration+
   301 root      20   0       0      0      0 S   0.0  0.0   2:22.55 ksoftirqd+
   303 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   304 root      rt   0       0      0      0 S   0.0  0.0   0:04.54 watchdog/+
   305 root      rt   0       0      0      0 S   0.0  0.0   0:06.53 migration+
   306 root      20   0       0      0      0 S   0.0  0.0   5:40.78 ksoftirqd+
   308 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/5+
   309 root      rt   0       0      0      0 S   0.0  0.0   0:04.09 watchdog/+
   310 root      rt   0       0      0      0 S   0.0  0.0   0:04.31 migration+
   311 root      20   0       0      0      0 S   0.0  0.0   0:01.86 ksoftirqd+
   313 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6+
   314 root      rt   0       0      0      0 S   0.0  0.0   0:03.99 watchdog/+
   315 root      rt   0       0      0      0 S   0.0  0.0   0:04.40 migration+
   316 root      20   0       0      0      0 S   0.0  0.0   0:21.32 ksoftirqd+
   318 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6+
   319 root      rt   0       0      0      0 S   0.0  0.0   0:03.86 watchdog/+
   320 root      rt   0       0      0      0 S   0.0  0.0   0:04.37 migration+
   321 root      20   0       0      0      0 S   0.0  0.0   0:02.34 ksoftirqd+
   323 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6+
   324 root      rt   0       0      0      0 S   0.0  0.0   0:04.25 watchdog/+
   325 root      rt   0       0      0      0 S   0.0  0.0   0:04.55 migration+
   326 root      20   0       0      0      0 S   0.0  0.0   3:12.20 ksoftirqd+
   328 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 kworker/6+
