-----------Current process (ps aux)---------------------------
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.0 194056  7192 ?        Ss   Feb27   2:50 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root        360  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/70]
root        361  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/70]
root        363  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/70:0H]
root        364  0.0  0.0      0     0 ?        S    Feb27   0:02 [watchdog/71]
root        365  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/71]
root        366  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/71]
root        368  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/71:0H]
root        369  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/72]
root        370  0.0  0.0      0     0 ?        S    Feb27   0:03 [migration/72]
root        371  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/72]
root        373  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/72:0H]
root        374  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/73]
root        375  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/73]
root        376  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/73]
root        378  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/73:0H]
root        379  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/74]
root        380  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/74]
root        381  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/74]
root        383  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/74:0H]
root        384  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/75]
root        385  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/75]
root        386  0.0  0.0      0     0 ?        S    Feb27   0:01 [ksoftirqd/75]
root        388  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/75:0H]
root        389  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/76]
root        390  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/76]
root        391  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/76]
root        393  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/76:0H]
root        394  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/77]
root        395  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/77]
root        396  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/77]
root        398  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/77:0H]
root        399  0.0  0.0      0     0 ?        S    Feb27   0:03 [watchdog/78]
root        400  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/78]
root        401  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/78]
root        403  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/78:0H]
root        404  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/79]
root        405  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/79]
root        406  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/79]
root        408  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/79:0H]
root        409  0.0  0.0      0     0 ?        S    Feb27   0:04 [watchdog/80]
root        410  0.0  0.0      0     0 ?        S    Feb27   0:04 [migration/80]
root        411  0.0  0.0      0     0 ?        S    Feb27   0:00 [ksoftirqd/80]
root        413  0.0  0.0      0     0 ?        S<   Feb27   0:00 [kworker/80:0H]
